task,feature,budget,spearman_mean,spearman_std,selected_minus_not_selected_mean,selected_mean,not_selected_mean,n_seeds
BBBP,mol_wt,20.0,-0.12091796015119512,0.0848828723676423,-29.031635096815762,331.82987188120353,360.8615069780193,5
BBBP,nearest_train_tanimoto,20.0,0.12075941944818243,0.060583610833405944,0.0007151454901458805,0.023229002567414253,0.022513857077268367,5
BBBP,ood_distance,20.0,-0.12075941944818243,0.060583610833405944,-0.0007151454901459075,0.9767709974325858,0.9774861429227315,5
BBBP,oracle_benefit,20.0,0.033187651806714,0.05064902315977054,-4.062609690463303e-06,1.430038611042133e-05,1.8362995800884634e-05,5
BBBP,rings,20.0,-0.14881430477070887,0.10428349794889982,-0.3483606557377049,2.8295081967213114,3.1778688524590164,5
BBBP,rotatable_bonds,20.0,-0.08533846341929027,0.10390523274131598,-0.8114754098360656,3.4786885245901638,4.2901639344262295,5
BBBP,tpsa,20.0,-0.021561424862011583,0.04246414681631703,-5.475778899231898,82.29121293239906,87.76699183163096,5
BBBP,uncertainty_score,20.0,0.20311218013711252,0.05299554070030654,0.05067784322080295,0.10466688364041873,0.053989040419615796,5
ESOL,bertz_ct,20.0,-0.04386103040786256,0.1076073746296093,75.66083465369306,496.748593257904,421.087758604211,5
ESOL,flexibility_score,20.0,-0.23079092269811513,0.1019759039950684,-0.6720895542841787,2.36000000888,3.032089563164179,5
ESOL,fraction_csp3,20.0,-0.10145248188785479,0.21925728421723034,-0.13855500074761426,0.30169105470180513,0.4402460554494193,5
ESOL,hba,20.0,-0.2975904383125727,0.20396310129730452,-0.6508855721393036,1.172,1.8228855721393036,5
ESOL,hbd,20.0,-0.22389807287405739,0.11144141842298182,-0.272,0.32799999999999996,0.6,5
ESOL,heavy_atoms,20.0,-0.10774734130433956,0.09788138804422217,0.6302487562189054,15.679999999999998,15.049751243781094,5
ESOL,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
ESOL,logp,20.0,0.11279847377754577,0.2715394549815602,0.8491735491675524,4.073724969029427,3.224551419861874,5
ESOL,mol_wt,20.0,-0.11869166656545208,0.18042796584634654,15.345296420576563,245.96146530151367,230.61616888093712,5
ESOL,nearest_train_tanimoto,20.0,0.24019299250745788,0.08761401164713246,0.005499730641132937,0.05523908015594907,0.049739349514816136,5
ESOL,ood_distance,20.0,-0.24019299250745788,0.08761401164713246,-0.0054997306411329605,0.944760919844051,0.950260650485184,5
