task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
BBBP,classification,uncertainty_support_ood,20.0,AUROC,0.9260804916732752,0.0031589861359768,0.926080 +/- 0.003159,20.0,5
BBBP,classification,uncertainty_support_ood,40.0,AUROC,0.926199444885012,0.0030367711502855,0.926199 +/- 0.003037,40.0,5
BBBP,classification,uncertainty_support_ood,60.0,AUROC,0.9263183980967488,0.0026614627380454,0.926318 +/- 0.002661,60.0,5
BBBP,classification,uncertainty_support_ood,80.0,AUROC,0.9267545598731166,0.0035036270224084,0.926755 +/- 0.003504,80.0,5
BBBP,classification,uncertainty_support_ood,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
ESOL,regression,desc_uncertainty_support,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,desc_uncertainty_support,5.0,MAE,0.6011497471965167,0.0103466281375374,0.601150 +/- 0.010347,5.179282868525896,5
ESOL,regression,desc_uncertainty_support,10.0,MAE,0.600736193295209,0.0109758064709573,0.600736 +/- 0.010976,9.9601593625498,5
ESOL,regression,desc_uncertainty_support,20.0,MAE,0.5980280040338221,0.0128036668520346,0.598028 +/- 0.012804,19.9203187250996,5
ESOL,regression,desc_uncertainty_support,40.0,MAE,0.5986825709278365,0.0165639473450629,0.598683 +/- 0.016564,39.8406374501992,5
ESOL,regression,desc_uncertainty_support,60.0,MAE,0.6006356785785629,0.0119080305928283,0.600636 +/- 0.011908,60.1593625498008,5
ESOL,regression,desc_uncertainty_support,80.0,MAE,0.603957717621944,0.009852534459488,0.603958 +/- 0.009853,80.0796812749004,5
ESOL,regression,desc_uncertainty_support,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,ecfp_only,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,ecfp_only,5.0,MAE,0.5969687856157463,0.0113344837437486,0.596969 +/- 0.011334,5.179282868525896,5
