task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
ESOL,regression,R7_nested_top,5.0,0.5999399803974714,0.01147251832051013,0.599940 +/- 0.011473,5.179282868525896,0.0,5.179283 +/- 0.000000,5
ESOL,regression,R7_nested_top,10.0,0.5989510781238753,0.012609520597792877,0.598951 +/- 0.012610,9.9601593625498,0.0,9.960159 +/- 0.000000,5
ESOL,regression,R7_nested_top,20.0,0.5967320415436034,0.013184830555163557,0.596732 +/- 0.013185,19.9203187250996,0.0,19.920319 +/- 0.000000,5
ESOL,regression,R7_nested_top,40.0,0.596591774711001,0.012397245521038106,0.596592 +/- 0.012397,39.8406374501992,0.0,39.840637 +/- 0.000000,5
ESOL,regression,R7_nested_top,60.0,0.596222585690259,0.012720586532482094,0.596223 +/- 0.012721,60.159362549800804,7.105427357601002e-15,60.159363 +/- 0.000000,5
ESOL,regression,R7_nested_top,80.0,0.5976285030562565,0.012874839532766915,0.597629 +/- 0.012875,80.0796812749004,0.0,80.079681 +/- 0.000000,5
ESOL,regression,R7_nested_top,100.0,0.5987428289109491,0.004920617971866437,0.598743 +/- 0.004921,100.0,0.0,100.000000 +/- 0.000000,5
ESOL,regression,R8_nested_gated,0.0,0.6019217134369322,0.011546324794926371,0.601922 +/- 0.011546,0.0,0.0,0.000000 +/- 0.000000,5
ESOL,regression,R8_nested_gated,5.0,0.5999949095821002,0.011535872196211099,0.599995 +/- 0.011536,4.302788844621514,1.7529880478087647,4.302789 +/- 1.752988,5
ESOL,regression,R8_nested_gated,10.0,0.598272000966319,0.011626849629016653,0.598272 +/- 0.011627,7.250996015936255,3.646234641800016,7.250996 +/- 3.646235,5
ESOL,regression,R8_nested_gated,20.0,0.5957725721875985,0.011923082907838204,0.595773 +/- 0.011923,12.191235059760956,7.740165382999772,12.191235 +/- 7.740165,5
ESOL,regression,R8_nested_gated,40.0,0.5939779825932476,0.01152696619347232,0.593978 +/- 0.011527,15.776892430278883,11.636194626274929,15.776892 +/- 11.636195,5
ESOL,regression,R8_nested_gated,60.0,0.5939779825932476,0.01152696619347232,0.593978 +/- 0.011527,15.776892430278883,11.636194626274929,15.776892 +/- 11.636195,5
ESOL,regression,R8_nested_gated,80.0,0.5939779825932476,0.01152696619347232,0.593978 +/- 0.011527,15.776892430278883,11.636194626274929,15.776892 +/- 11.636195,5
ESOL,regression,R8_nested_gated,100.0,0.5939779825932476,0.01152696619347232,0.593978 +/- 0.011527,15.776892430278883,11.636194626274929,15.776892 +/- 11.636195,5
ESOL,regression,R9_nested_lcb_guardrail,0.0,0.6019217134369322,0.011546324794926371,0.601922 +/- 0.011546,0.0,0.0,0.000000 +/- 0.000000,5
