task,task_type,method,method_group,primary_metric,primary_mean,primary_std,n_seeds,source,call_rate,selection_family,selection_note,baseline_aware_mean,baseline_aware_std
BACE,classification,RF_ECFPDesc,candidate member,AUROC,0.8573096885813151,0.0028873244617897,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,XGB_ECFPDesc,candidate member,AUROC,0.8598183391003461,0.0024698203925061,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn,candidate member,AUROC,0.828647635524798,0.0063674258007421,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn_rdkit2d,candidate member,AUROC,0.8292099192618224,0.0010676763887874,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn_rdkit2d_balanced,candidate member,AUROC,0.8278402537485583,0.0062089866581295,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,val_best_single,validation-gated consensus,AUROC,0.8530420991926182,0.0088588194853088,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,val_greedy_ensemble,validation-gated consensus,AUROC,0.8548154555940023,0.0069924285659376,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,voila_xgb_all_2d,candidate member,AUROC,0.8564302191464822,0.0016347217742858,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,voila_xgb_all_3d_aug,candidate member,AUROC,0.8463523644752019,0.0011647010051107,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BBBP,classification,ExtraTrees_ECFPDesc,candidate member,AUROC,0.9443199841395716,0.0019244177450844,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
